Carrion,Compost,Decaying fruit,Decaying organics,Decaying plants,Decaying vegetables,Detritus,Effluent,Food waste,Fresh water,Fruits,Host vertebrate,Host flower,Host insect,Host invertebrate,Host vertebrate nest,Host plant,Hydrothermal spring,Host invertebrate nest,Leaf litter,Manure/faeces,Moist soil,Mud pools,Plant bulbs,Rainwater baskets,Sandy soils,Sedimentation basin,Sewage,Soil,Swamps,Termite Mounds,Tree hollows,Unclear,Vegetables,Wetlands
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,
0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,
